#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	COG(s)	Protein name
chr	NC_002946.2	42157	42618	-	3282340	-	NGO0045	YP_207224.1	153	-	acetyl-CoA carboxylase biotin carboxyl carrier protein subunit
chr	NC_002946.2	42600	42857	-	3282375	-	NGO0046	YP_207225.1	85	-	hypothetical protein NGO0046
chr	NC_002946.2	42974	44014	+	3282377	queA	NGO0047	YP_207226.1	346	-	S-adenosylmethionine--tRNA ribosyltransferase-isomerase
chr	NC_002946.2	44215	47430	-	3282357	carB	NGO0048	YP_207227.1	1071	-	carbamoyl phosphate synthase large subunit
chr	NC_002946.2	47441	47974	-	3282365	-	NGO0049	YP_207228.1	177	-	hypothetical protein NGO0049
chr	NC_002946.2	49539	49928	-	3282350	-	NGO0050	YP_207229.1	129	-	endonuclease
chr	NC_002946.2	50524	51657	-	3282335	-	NGO0053	YP_207230.1	377	-	carbamoyl phosphate synthase small subunit
chr	NC_002946.2	52527	55670	-	3282341	-	NGO0055	YP_207232.1	1047	-	pilus assembly protein
chr	NC_002946.2	57122	58201	-	3282337	-	NGO0056	YP_207233.1	359	-	ATPase
chr	NC_002946.2	58575	59084	+	3282274	-	NGO0057	YP_207234.1	169	-	thioredoxin
chr	NC_002946.2	59488	59865	+	3282324	-	NGO0058	YP_207235.1	125	-	MarR family transcriptional regulator
chr	NC_002946.2	59981	60481	+	3282327	-	NGO0059	YP_207236.1	166	-	4-hydroxyphenylacetate 3-monooxygenase reductase subunit
chr	NC_002946.2	60497	61192	+	3282348	-	NGO0060	YP_207237.1	231	-	sugar-phosphate transferase
chr	NC_002946.2	61831	63507	+	3282323	-	NGO0062	YP_207238.1	558	-	formate--tetrahydrofolate ligase
chr	NC_002946.2	63621	64712	+	3282306	-	NGO0063	YP_207239.1	363	-	GTP-dependent nucleic acid-binding protein EngD
chr	NC_002946.2	64750	64989	+	3282310	-	NGO0064	YP_207240.1	79	-	hypothetical protein NGO0064
chr	NC_002946.2	64986	66860	+	3282317	-	NGO0065	YP_207241.1	624	-	acyltransferase
chr	NC_002946.2	66922	68217	+	3282277	-	NGO0066	YP_207242.1	431	-	tyrosyl-tRNA synthase
chr	NC_002946.2	69021	69710	-	19592999	-	NGO0066a	YP_008914846.1	229	-	opacity protein
chr	NC_002946.2	70214	71173	+	3282316	-	NGO0068	YP_207243.1	319	-	bifunctional riboflavin kinase/FMN adenylyltransferase
chr	NC_002946.2	71315	74104	+	3282308	ileS	NGO0069	YP_207244.1	929	-	isoleucyl-tRNA synthetase
chr	NC_002946.2	74783	75580	-	3282321	-	NGO0070	YP_207245.1	265	-	outer membrane opacity protein B
chr	NC_002946.2	76565	77059	+	3282278	lspA	NGO0071	YP_207246.1	164	-	lipoprotein signal peptidase
chr	NC_002946.2	77089	78057	+	3282290	ispH	NGO0072	YP_207247.1	322	-	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
chr	NC_002946.2	78813	79472	-	3282279	-	NGO0073	YP_207248.1	219	-	phosphatase
chr	NC_002946.2	81989	85423	-	3282282	-	NGO0078	YP_207251.1	1144	-	DNA polymerase III subunit alpha
chr	NC_002946.2	85956	86189	+	3283048	-	NGO0079	YP_207252.1	77	-	hypothetical protein NGO0079
chr	NC_002946.2	86167	86370	+	3282269	-	NGO0080	YP_207253.1	67	-	hypothetical protein NGO0080
chr	NC_002946.2	86665	87501	+	3282263	-	NGO0081	YP_207254.1	278	-	phosphoesterase
chr	NC_002946.2	87553	88845	-	3282138	avtA	NGO0082	YP_207255.1	430	-	valine--pyruvate transaminase
chr	NC_002946.2	88901	90811	-	3282320	-	NGO0083	YP_207256.1	636	-	NADH-dependent dehydratase PglD
chr	NC_002946.2	90859	92034	-	3282259	-	NGO0084	YP_207257.1	391	-	pilin glycosylation aminotransferase PglC
chr	NC_002946.2	92165	93406	-	3282309	-	NGO0085	YP_207258.1	413	-	bifunctional acetyltransferase/phospho-glycosyltransferase PglB
chr	NC_002946.2	93399	94565	-	3282285	-	NGO0086	YP_207259.1	388	-	hypothetical protein NGO0086
chr	NC_002946.2	94579	95643	-	3282283	-	NGO0087	YP_207260.1	354	-	hypothetical protein NGO0087
chr	NC_002946.2	95640	97061	-	3282288	-	NGO0088	YP_207261.1	473	-	hypothetical protein NGO0088
chr	NC_002946.2	97256	98365	-	3282253	-	NGO0089	YP_207262.1	369	-	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase
chr	NC_002946.2	98397	98849	-	3282251	nrdR	NGO0090	YP_207263.1	150	-	transcriptional regulator NrdR
chr	NC_002946.2	98878	99720	-	3282132	-	NGO0091	YP_207264.1	280	-	glutamine amidotransferase
chr	NC_002946.2	100459	101538	-	3282137	aroB	NGO0092	YP_207265.1	359	-	3-dehydroquinate synthase
chr	NC_002946.2	101618	102130	-	3282244	aroK	NGO0093	YP_207266.1	170	-	shikimate kinase
chr	NC_002946.2	103398	105569	-	3282403	-	NGO0094	YP_207267.1	723	-	type IV pilus secretin PilQ
chr	NC_002946.2	105588	106133	-	3282291	-	NGO0095	YP_207268.1	181	-	type IV pilius assembly protein PilP
chr	NC_002946.2	106151	106798	-	3282139	-	NGO0096	YP_207269.1	215	-	type IV pilius assembly protein PilO
chr	NC_002946.2	106799	107398	-	3282268	-	NGO0097	YP_207270.1	199	-	type IV pilius assembly protein PilN
chr	NC_002946.2	107401	108516	-	3282223	-	NGO0098	YP_207271.1	371	-	type IV pilius assembly ATPase PilM
chr	NC_002946.2	108668	111064	+	3282452	-	NGO0099	YP_207272.1	798	-	peptidase
chr	NC_002946.2	111184	111819	-	3282443	engB	NGO0100	YP_207273.1	211	-	GTP-binding protein
chr	NC_002946.2	112020	112643	+	3282451	-	NGO0101	YP_207274.1	207	-	cytochrome c
chr	NC_002946.2	112858	114873	+	3282446	-	NGO0102	YP_207275.1	671	-	cytochrome c biogenesis protein
chr	NC_002946.2	114866	116053	+	3282441	-	NGO0103	YP_207276.1	395	-	cytochrome c biogenesis protein
chr	NC_002946.2	116169	117233	+	3282444	-	NGO0104	YP_207277.1	354	-	tRNA N6-adenosine threonylcarbamoyltransferase
chr	NC_002946.2	117278	118171	-	3282380	-	NGO0105	YP_207278.1	297	-	lipid A biosynthesis lauroyl acyltransferase
chr	NC_002946.2	118517	119686	+	3282432	-	NGO0106	YP_207279.2	389	-	S-adenosylmethionine synthetase
chr	NC_002946.2	119751	121160	-	3282411	-	NGO0107	YP_207280.1	469	-	carboxypeptidase
chr	NC_002946.2	121880	122068	+	3282413	-	NGO0109	YP_207282.1	62	-	hypothetical protein NGO0109
chr	NC_002946.2	122259	123572	+	3282426	-	NGO0110	YP_207283.1	437	-	magnesium citrate secondary transporter
chr	NC_002946.2	124550	125800	+	3282418	-	NGO0112	YP_207284.1	416	-	two-component system sensor kinase
chr	NC_002946.2	125835	127328	-	3282417	-	NGO0113	YP_207285.1	497	-	ribonuclease G
chr	NC_002946.2	127547	127804	+	3283078	-	NGO0114	YP_207286.1	85	-	glutaredoxin
chr	NC_002946.2	127825	128268	+	3282400	-	NGO0116	YP_207288.1	147	-	preprotein translocase subunit SecB
chr	NC_002946.2	128354	130396	+	3282408	-	NGO0117	YP_207289.1	680	-	ATP-dependent DNA helicase RecG
chr	NC_002946.2	130990	132033	-	3282346	argC	NGO0118	YP_207290.1	347	-	N-acetyl-gamma-glutamyl-phosphate reductase
chr	NC_002946.2	132030	132323	-	3282406	-	NGO0119	YP_207291.1	97	-	hypothetical protein NGO0119
chr	NC_002946.2	132347	132475	+	3282405	-	NGO0120	YP_207292.1	42	-	hypothetical protein NGO0120
chr	NC_002946.2	132575	133729	+	3282395	-	NGO0121	YP_207293.1	384	-	hypothetical protein NGO0121
chr	NC_002946.2	133904	134311	+	3282398	-	NGO0122	YP_207294.1	135	-	hypothetical protein NGO0122
chr	NC_002946.2	134372	135646	+	3282391	-	NGO0123	YP_207295.1	424	-	secretion protein
chr	NC_002946.2	135831	136178	+	3281936	-	NGO0124	YP_207296.1	115	-	hypothetical protein NGO0124
chr	NC_002946.2	136192	136407	+	3281221	-	NGO0125	YP_207297.1	71	-	hypothetical protein NGO0125
chr	NC_002946.2	136509	137276	+	22847886	-	NGO0125a	YP_009115478.1	255	-	peptidase
chr	NC_002946.2	137771	138997	-	3281248	rbn	NGO0127	YP_207298.1	408	-	ribonuclease BN/hypothetical protein
chr	NC_002946.2	139485	140159	+	3282488	-	NGO0129	YP_207300.1	224	-	7-cyano-7-deazaguanine synthase
chr	NC_002946.2	140187	140702	+	3281252	-	NGO0130	YP_207301.1	171	-	hypothetical protein NGO0130
chr	NC_002946.2	140790	141212	+	3281264	-	NGO0131	YP_207302.1	140	-	6-carboxy-5,6,7,8-tetrahydropterin synthase
chr	NC_002946.2	141478	142485	+	3281233	-	NGO0132	YP_207303.1	335	-	hypothetical protein NGO0132
chr	NC_002946.2	142978	144063	-	3281288	-	NGO0135	YP_207305.1	361	-	beta-hexosaminidase
chr	NC_002946.2	144120	145640	-	3281295	-	NGO0136	YP_207306.1	506	-	hypothetical protein NGO0136
chr	NC_002946.2	145668	145817	+	3282110	-	NGO0137	YP_207307.1	49	-	hypothetical protein NGO0137
chr	NC_002946.2	145843	147342	-	3281276	-	NGO0138	YP_207308.1	499	-	serine protease
chr	NC_002946.2	147480	148109	-	3281300	-	NGO0139	YP_207309.1	209	-	endonuclease III
chr	NC_002946.2	148156	148692	-	3281291	-	NGO0140	YP_207310.1	178	-	hypothetical protein NGO0140
chr	NC_002946.2	148719	148865	+	3281965	-	NGO0141	YP_207311.1	48	-	hypothetical protein NGO0141
chr	NC_002946.2	148948	150228	+	3281278	-	NGO0142	YP_207312.1	426	-	sugar transporter
chr	NC_002946.2	150518	151897	+	3281299	-	NGO0143	YP_207313.1	459	-	Na(+)/H(+) antiporter
chr	NC_002946.2	152040	152864	-	3281301	-	NGO0144	YP_207314.1	274	-	Mg2+ and Co2+ transporter
chr	NC_002946.2	152866	153501	-	3281313	-	NGO0145	YP_207315.1	211	-	metalloprotease
chr	NC_002946.2	153500	154435	+	3281294	hemC	NGO0146	YP_207316.1	311	-	porphobilinogen deaminase
chr	NC_002946.2	155587	156267	+	19593001	-	NGO0146a	YP_008914847.1	226	-	hypothetical protein NGO0146a
chr	NC_002946.2	157762	159135	-	3281290	-	NGO0149	YP_207319.1	457	-	ATP-dependent RNA helicase
chr	NC_002946.2	159349	160353	+	3281316	-	NGO0151	YP_207321.1	334	-	tRNA-dihydrouridine synthase B
chr	NC_002946.2	160542	160781	+	3283047	-	NGO0152	YP_207322.2	79	-	Fis family transcriptional regulator
chr	NC_002946.2	160784	161320	+	3281312	ruvC	NGO0153	YP_207323.2	178	-	Holliday junction resolvase
chr	NC_002946.2	161371	162240	+	3281330	-	NGO0154	YP_207324.1	289	-	lipid A biosynthesis lauroyl acyltransferase
chr	NC_002946.2	163144	163938	+	3281349	-	NGO0156	YP_207326.1	264	-	3\'-5\' exonuclease
chr	NC_002946.2	164163	166766	+	3281350	pepN	NGO0158	YP_207327.1	867	-	aminopeptidase
chr	NC_002946.2	167614	167805	-	3281354	-	NGO0160	YP_207328.1	63	-	hypothetical protein NGO0160
chr	NC_002946.2	167838	168305	-	3281372	-	NGO0161	YP_207329.1	155	-	hypothetical protein NGO0161
chr	NC_002946.2	168745	169122	-	3281366	-	NGO0163	YP_207331.1	125	-	hypothetical protein NGO0163
chr	NC_002946.2	169180	169545	-	3281392	-	NGO0164	YP_207332.1	121	-	hypothetical protein NGO0164
chr	NC_002946.2	169527	170066	-	3281391	-	NGO0165	YP_207333.1	179	-	membrane protein
chr	NC_002946.2	170109	170975	-	3281383	-	NGO0166	YP_207334.1	288	-	hypothetical protein NGO0166
chr	NC_002946.2	171195	172121	-	3281403	-	NGO0168	YP_207336.1	308	-	ABC transporter substrate-binding protein
chr	NC_002946.2	172198	173025	-	3281401	-	NGO0169	YP_207337.1	275	-	ABC transporter permease
chr	NC_002946.2	173108	173863	-	3281376	-	NGO0170	YP_207338.1	251	-	ABC transporter ATP-binding protein
chr	NC_002946.2	174154	174519	-	3281328	rplS	NGO0171	YP_207339.1	121	-	50S ribosomal protein L19
chr	NC_002946.2	174534	175283	-	3281334	trmD	NGO0172	YP_207340.1	249	-	tRNA (guanine-N(1)-)-methyltransferase
chr	NC_002946.2	175283	175792	-	3281175	rimM	NGO0173	YP_207341.1	169	-	ribosome maturation factor RimM
chr	NC_002946.2	175808	176053	-	3281160	rpsP	NGO0174	YP_207342.1	81	-	30S ribosomal protein S16
chr	NC_002946.2	178639	180045	-	3281293	-	NGO0176	YP_207343.1	468	-	two-component system sensor kinase
chr	NC_002946.2	180058	180735	-	3281311	-	NGO0177	YP_207344.1	225	-	two-component system transcriptional response regulator
chr	NC_002946.2	180925	182739	-	3281327	-	NGO0178	YP_207345.1	604	-	hypothetical protein NGO0178
chr	NC_002946.2	182729	183082	-	3283046	-	NGO0179	YP_207346.1	117	-	membrane protein
chr	NC_002946.2	183091	183738	-	3281464	-	NGO0180	YP_207347.1	215	-	Maf-like protein
chr	NC_002946.2	183743	184513	-	3281433	-	NGO0181	YP_207348.1	256	-	sec-independent protein translocase protein TatC
chr	NC_002946.2	184526	185212	-	3281448	-	NGO0182	YP_207349.1	228	-	sec-independent protein translocase protein TatB
chr	NC_002946.2	185216	185419	-	3281482	tatA	NGO0183	YP_207350.1	67	-	sec-independent protein translocase protein TatA
chr	NC_002946.2	185466	185789	-	3281428	-	NGO0184	YP_207351.1	107	-	HIT family hydrolase
chr	NC_002946.2	185863	186186	-	3281511	hisE	NGO0185	YP_207352.1	107	-	phosphoribosyl-ATP pyrophosphatase
chr	NC_002946.2	186327	187391	-	3281536	-	NGO0186	YP_207353.1	354	-	zinc-binding alcohol dehydrogenas
chr	NC_002946.2	188256	189374	-	3281567	-	NGO0187	YP_207354.1	372	-	deacetylase
chr	NC_002946.2	189505	189771	+	3281554	-	NGO0188	YP_207355.1	88	-	hypothetical protein NGO0188
chr	NC_002946.2	189979	191835	+	3281517	secD	NGO0189	YP_207356.1	618	-	preprotein translocase subunit SecD
chr	NC_002946.2	191839	192774	+	3281564	secF	NGO0190	YP_207357.1	311	-	preprotein translocase subunit SecF
chr	NC_002946.2	192979	193248	+	3281588	rpsO	NGO0191	YP_207358.1	89	-	30S ribosomal protein S15
chr	NC_002946.2	193358	194650	+	3281640	-	NGO0192	YP_207359.1	430	-	polyamine ABC transporter ATP-binding protein
chr	NC_002946.2	194984	195949	+	3281667	-	NGO0195	YP_207360.1	321	-	polyamine ABC transporter permease
chr	NC_002946.2	195949	196836	+	3281651	-	NGO0196	YP_207361.1	295	-	polyamine ABC transporter permease
chr	NC_002946.2	196858	198258	+	3281682	-	NGO0197	YP_207362.1	466	-	oxidoreductase
chr	NC_002946.2	198352	199818	-	3281685	-	NGO0198	YP_207363.1	488	-	ammonium transporter
chr	NC_002946.2	200272	201531	-	3281719	rho	NGO0199	YP_207364.1	419	-	transcription termination factor Rho
chr	NC_002946.2	201752	204136	-	3281742	-	NGO0200	YP_207365.1	794	-	phosphoenolpyruvate synthase
chr	NC_002946.2	204491	205144	+	3281705	-	NGO0201	YP_207366.1	217	-	IS1016 transposase
chr	NC_002946.2	205270	206091	+	3281768	-	NGO0202	YP_207367.1	273	-	PEP synthetase regulatory protein
chr	NC_002946.2	206177	206887	-	3282551	-	NGO0203	YP_207368.1	236	-	phosphatase
chr	NC_002946.2	206877	207704	-	3281097	-	NGO0204	YP_207369.1	275	-	hypothetical protein NGO0204
chr	NC_002946.2	208087	208710	+	3282546	-	NGO0205	YP_207370.1	207	-	outer-membrane lipoprotein carrier protein
chr	NC_002946.2	208983	210119	+	3281089	-	NGO0206	YP_207371.1	378	-	ABC transporter periplasmic binding protein, polyamine
chr	NC_002946.2	210214	211197	+	3281408	-	NGO0207	YP_207372.1	327	-	sugar transferase
chr	NC_002946.2	211238	211768	+	3281351	-	NGO0208	YP_207373.1	176	-	anhydrase
chr	NC_002946.2	211936	213531	-	3281358	prfC	NGO0209	YP_207374.1	531	-	peptide chain release factor 3
chr	NC_002946.2	213638	214033	-	3281419	hisI	NGO0210	YP_207375.1	131	-	phosphoribosyl-AMP cyclohydrolase
chr	NC_002946.2	214064	214831	-	3281422	-	NGO0211	YP_207376.1	255	-	imidazole glycerol phosphate synthase subunit HisF
chr	NC_002946.2	214844	215581	-	3281397	-	NGO0212	YP_207377.1	245	-	1-(5-phosphoribosyl)-5
chr	NC_002946.2	215614	216252	-	3281167	hisH	NGO0213	YP_207378.1	212	-	imidazole glycerol phosphate synthase subunit HisH
chr	NC_002946.2	216382	217884	-	3281410	-	NGO0214	YP_207379.1	500	-	phosphotransacetylase
chr	NC_002946.2	218069	219127	-	3281434	-	NGO0215	YP_207380.1	352	-	iron ABC transporter ATP-binding protein FbpC
chr	NC_002946.2	219148	220677	-	3281381	-	NGO0216	YP_207381.1	509	-	iron ABC transporter permease
chr	NC_002946.2	220733	221728	-	3281438	-	NGO0217	YP_207382.1	331	-	iron ABC transporter substrate-binding protein
chr	NC_002946.2	222518	223894	-	3281430	-	NGO0219	YP_207384.1	458	-	argininosuccinate lyase
chr	NC_002946.2	223913	224782	-	3281452	-	NGO0220	YP_207385.1	289	-	UTP-glucose-1-phosphate uridylyltransferase
chr	NC_002946.2	224810	225409	-	3281441	-	NGO0221	YP_207386.1	199	-	non-canonical purine NTP pyrophosphatase
chr	NC_002946.2	225402	225635	-	3281455	-	NGO0222	YP_207387.1	77	-	membrane protein
chr	NC_002946.2	225743	226276	-	3281467	-	NGO0223	YP_207388.1	177	-	inorganic pyrophosphatase
chr	NC_002946.2	226378	226836	-	3281460	-	NGO0224	YP_207389.1	152	-	phosphohydrolase
chr	NC_002946.2	227386	229272	+	3281479	-	NGO0225	YP_207390.1	628	-	MafB-like protein
chr	NC_002946.2	229300	229722	+	3281476	-	NGO0226	YP_207391.1	140	-	hypothetical protein NGO0226
chr	NC_002946.2	230200	230445	+	3281474	-	NGO0227	YP_207392.1	81	-	hypothetical protein NGO0227
chr	NC_002946.2	230448	230834	+	3281465	-	NGO0228	YP_207393.1	128	-	hypothetical protein NGO0228
chr	NC_002946.2	231055	231444	+	3281469	-	NGO0229	YP_207394.1	129	-	hypothetical protein NGO0229
chr	NC_002946.2	231484	232941	-	3281492	-	NGO0230	YP_207395.1	485	-	Trk system potassium uptake protein
chr	NC_002946.2	232956	233786	-	3281453	apaH	NGO0231	YP_207396.1	276	-	diadenosine tetraphosphatase
chr	NC_002946.2	233863	234252	-	3281362	-	NGO0232	YP_207397.1	129	-	reactive intermediate/imine deaminase
chr	NC_002946.2	234399	234926	-	3281494	-	NGO0233	YP_207398.1	175	-	outer membrane protein
chr	NC_002946.2	235369	236544	-	3281485	-	NGO0234	YP_207399.1	391	-	coproporphyrinogen III oxidase
chr	NC_002946.2	236601	239072	-	3281488	-	NGO0235	YP_207400.1	823	-	DNA ligase
chr	NC_002946.2	239206	240492	-	3281509	-	NGO0236	YP_207401.1	428	-	hypothetical protein NGO0236
chr	NC_002946.2	240686	241258	-	3281496	-	NGO0237	YP_207402.1	190	-	N-acetyl-anhydromuranmyl-L-alanine amidase
chr	NC_002946.2	242398	243018	+	3281463	tmk	NGO0239	YP_207404.1	206	-	thymidylate kinase
chr	NC_002946.2	243240	244520	+	3281502	-	NGO0240	YP_207405.1	426	-	malate dehydrogenase
chr	NC_002946.2	244922	245953	+	3281520	lpxK	NGO0242	YP_207407.1	343	-	tetraacyldisaccharide 4\'-kinase
chr	NC_002946.2	246159	246692	+	3281497	-	NGO0243	YP_207408.1	177	-	hypothetical protein NGO0243
chr	NC_002946.2	246914	247096	+	3281515	-	NGO0244	YP_207409.1	60	-	hypothetical protein NGO0244
chr	NC_002946.2	247093	247854	+	3281505	-	NGO0245	YP_207410.1	253	-	3-deoxy-manno-octulosonate cytidylyltransferase
chr	NC_002946.2	248915	249700	+	3281525	trpA	NGO0248	YP_207413.1	261	-	tryptophan synthase subunit alpha
chr	NC_002946.2	249737	250609	+	3281537	-	NGO0249	YP_207414.1	290	-	acetyl-CoA carboxylase subunit beta
chr	NC_002946.2	250669	251280	-	3281541	-	NGO0250	YP_207415.1	203	-	lipoprotein Cnp1
chr	NC_002946.2	251388	251612	+	19592991	-	NGO0250a	YP_008914848.1	74	-	hypothetical protein NGO0250a
chr	NC_002946.2	251643	252029	+	3281548	-	NGO0252	YP_207416.1	128	-	hypothetical protein NGO0252
chr	NC_002946.2	252030	252623	-	3281553	-	NGO0253	YP_207417.1	197	-	hypothetical protein NGO0253
chr	NC_002946.2	253334	254368	+	3281552	-	NGO0255	YP_207418.1	344	-	dihydroorotase
chr	NC_002946.2	254447	254872	-	3281560	nusB	NGO0256	YP_207419.1	141	-	transcription antitermination protein NusB
chr	NC_002946.2	254950	255426	-	3281556	ribH	NGO0257	YP_207420.1	158	-	6,7-dimethyl-8-ribityllumazine synthase
chr	NC_002946.2	255473	255796	-	3281085	-	NGO0258	YP_207421.1	107	-	hypothetical protein NGO0258
chr	NC_002946.2	255967	256686	+	3281574	rnc	NGO0259	YP_207422.1	239	-	ribonuclease III
chr	NC_002946.2	256721	257656	+	3281558	era	NGO0260	YP_207423.1	311	-	GTP-binding protein Era
chr	NC_002946.2	260589	261215	-	3281084	-	NGO0261	YP_207424.1	208	-	N-(5\'-phosphoribosyl)anthranilate isomerase
chr	NC_002946.2	261274	261765	-	3281575	greB	NGO0262	YP_207425.1	163	-	transcription elongation factor GreB
chr	NC_002946.2	261865	263409	-	3281534	-	NGO0263	YP_207426.1	514	-	amidophosphoribosyltransferase
chr	NC_002946.2	263603	264100	-	3281544	-	NGO0264	YP_207427.1	165	-	bacteriocin production protein
chr	NC_002946.2	264093	265133	-	3281561	-	NGO0265	YP_207428.1	346	-	cell division protein FtsN
chr	NC_002946.2	265147	266421	-	3281551	-	NGO0266	YP_207429.1	424	-	bifunctional folylpolyglutamate synthase/dihydrofolate synthase
chr	NC_002946.2	266452	266892	-	3281570	-	NGO0267	YP_207430.1	146	-	transcriptional regulator FolI
chr	NC_002946.2	266897	267271	-	3281592	-	NGO0268	YP_207431.1	124	-	hypothetical protein NGO0268
chr	NC_002946.2	267329	268057	-	3281579	-	NGO0269	YP_207432.1	242	-	amino acid ABC transporter ATP-binding protein
chr	NC_002946.2	268099	268554	-	3281616	-	NGO0270	YP_207433.1	151	-	hypothetical protein NGO0270
chr	NC_002946.2	268665	269234	-	3281589	-	NGO0271	YP_207434.1	189	-	hypothetical protein NGO0271
chr	NC_002946.2	269249	270028	-	3283045	ksgA	NGO0272	YP_207435.1	259	-	rRNA small subunit methyltransferase A
chr	NC_002946.2	270304	270933	+	22847887	-	NGO272a	YP_009115479.1	209	-	DNA glycosylase
chr	NC_002946.2	271016	272218	+	3281611	-	NGO0274	YP_207436.1	400	-	tryptophan synthase subunit beta
chr	NC_002946.2	272294	277075	-	3281612	-	NGO0275	YP_207437.1	1593	-	IgA-specific metalloendopeptidase
chr	NC_002946.2	277605	279680	+	3281597	-	NGO0276	YP_207438.1	691	-	competence protein ComA
chr	NC_002946.2	279750	280553	-	3281625	-	NGO0277	YP_207439.1	267	-	competence protein ComL
chr	NC_002946.2	280552	281676	+	3281614	-	NGO0278	YP_207440.1	374	-	ribosomal large subunit pseudouridine synthase D
chr	NC_002946.2	283231	284010	+	3281603	-	NGO0281	YP_207442.1	259	-	laccase
chr	NC_002946.2	284062	284541	+	3281623	-	NGO0282	YP_207443.1	159	-	hypothetical protein NGO0282
chr	NC_002946.2	284543	285541	+	3281638	holA	NGO0283	YP_207444.1	332	-	DNA polymerase III subunit delta
chr	NC_002946.2	285662	286081	+	3281629	-	NGO0284	YP_207445.1	139	-	membrane protein
chr	NC_002946.2	286106	286672	+	3281607	-	NGO0285	YP_207446.1	188	-	hypothetical protein NGO0285
chr	NC_002946.2	286763	287647	-	3281649	-	NGO0286	YP_207447.1	294	-	hypothetical protein NGO0286
